61,https://pressbooks.online.ucf.edu/introwgss/,http://schema.org,Book,"Introduction to Women, Gender, Sexuality Studies",en,https://pressbooks.online.ucf.edu/app/uploads/sites/61/2019/03/WGSS-textbook-cover.jpg,Person,Miliann Kang,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
66,https://pressbooks.online.ucf.edu/projectdemos/,http://schema.org,Book,Student Project Demos,en,https://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,Emily Hunt,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
67,https://pressbooks.online.ucf.edu/hum2020portfolios/,http://schema.org,Book,Chicana Art / Student Portfolios,en,http://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,karinacespedes,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
68,https://pressbooks.online.ucf.edu/chicanaart/,http://schema.org,Book,Chicana Art,en,https://pressbooks.online.ucf.edu/app/uploads/sites/68/2019/04/Screen-Shot-2019-04-10-at-11.59.59-PM.png,Person,Karina Cespedes,CreativeWork,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA (Attribution ShareAlike)
70,https://pressbooks.online.ucf.edu/astronomybase/,http://schema.org,Book,Astronomy (OpenStax Base),en,https://pressbooks.online.ucf.edu/app/plugins/pressbooks/assets/dist/images/default-book-cover.jpg,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
72,https://pressbooks.online.ucf.edu/aimidworkflows/,http://schema.org,Book,Affordable Instructional Materials – ID Handbook,en,https://pressbooks.online.ucf.edu/app/uploads/sites/72/2020/01/No-Stars_AIM-Handbook4-copy.png,Person,James Paradiso,CreativeWork,https://creativecommons.org/licenses/by-sa/4.0/,CC BY-SA (Attribution ShareAlike)
75,https://pressbooks.online.ucf.edu/phy2054ard/,http://schema.org,Book,College Physics,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/39/2018/12/Screen-Shot-2018-12-28-at-9.14.48-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
77,https://pressbooks.online.ucf.edu/phy2054ehk/,http://schema.org,Book,College Physics,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/39/2018/12/Screen-Shot-2018-12-28-at-9.14.48-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
78,https://pressbooks.online.ucf.edu/phy2054ak/,http://schema.org,Book,College Physics,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/78/2019/06/Screen-Shot-2018-12-28-at-9.14.48-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
79,https://pressbooks.online.ucf.edu/phy2053dubey/,http://schema.org,Book,College Physics,en-ca,https://pressbooks.online.ucf.edu/app/uploads/sites/79/2019/06/Screen-Shot-2018-12-28-at-9.14.48-PM.png,Person,OpenStax,CreativeWork,https://creativecommons.org/licenses/by/4.0/,CC BY (Attribution)
